uploaded_at,filename,total_records,duplicate_records,failed_records,status
2026-01-08 14:47:02,Book1.xls,884,0,0,SUCCESS
2026-01-08 14:56:19,Book2.xls,845,0,0,SUCCESS
2026-01-08 16:29:04,CONSULTANT DATABASE.xls,579,0,0,SUCCESS
2026-01-09 10:44:28,Data Bank - Corporate Members.xls,346,0,0,SUCCESS
2026-01-09 10:48:29,Credit card Holders-Various Bank.xls,3393,0,0,SUCCESS
2026-01-09 10:48:32,Credit card Holders-Various Bank.xls,3393,0,0,SUCCESS
2026-01-09 10:48:36,Credit card Holders-Various Bank.xls,3393,0,0,SUCCESS
2026-01-09 10:48:38,Credit card Holders-Various Bank.xls,3393,0,0,SUCCESS
2026-01-09 10:49:07,HSBC Bank.xls,4094,0,0,SUCCESS
2026-01-09 10:49:14,Platinum Card Holders.xls,330,14,0,SUCCESS
2026-01-09 10:49:34,UTI Bank Credit card Holders.xls,1199,0,0,SUCCESS
2026-01-09 10:49:51,Platinum Card Holders.xls,330,14,0,SUCCESS
2026-01-09 10:50:05,Various Banks.xls,2197,26,0,SUCCESS
2026-01-09 10:52:24,2 DOCTOR FILE2 (3567).xlsx,3566,0,0,SUCCESS
2026-01-09 10:52:45,3 Doct (1509).xlsx,1508,0,0,SUCCESS
2026-01-09 10:52:55,4 DOCTOR02 MUM (105).xls,104,0,0,SUCCESS
2026-01-09 10:53:09,7 Mum Docts (155).xlsx,154,0,0,SUCCESS
2026-01-09 10:53:21,6 Doct (2012).xlsx,2011,0,0,SUCCESS
2026-01-09 10:53:44,8 Mum Doctors (22).xls,21,0,0,SUCCESS
2026-01-09 10:53:55,DOCT (379).xlsx,379,1,0,SUCCESS
2026-01-09 10:54:14,DOCT NOIDA (1711).xlsx,1709,0,0,SUCCESS
2026-01-09 10:54:36,DOCTOR (467).xlsx,467,0,0,SUCCESS
2026-01-09 10:55:01,DOCTOR GUR (1719).xlsx,1718,0,0,SUCCESS
2026-01-09 10:55:36,DOCTOR UP (909).xlsx,910,0,0,SUCCESS
2026-01-09 10:58:19,aieee_assam_2012.xlsx,10713,86,0,SUCCESS
2026-01-09 10:58:29,aieee_assam_2012.xlsx,10713,86,0,SUCCESS
2026-01-09 10:59:08,aieee_jharkhand_2012.xlsx,22508,810,0,SUCCESS
2026-01-09 10:59:31,aieee_uttar_pradesh_2012_part1.xlsx,12379,49,0,SUCCESS
2026-01-09 11:14:11,aieee_uttar_pradesh_2012_part2.xlsx,12300,30,0,SUCCESS
2026-01-09 11:20:35,aieee_uttar_pradesh_2012_part3.xlsx,10576,33,0,SUCCESS
2026-01-09 11:23:44,aieee_west_bengal_2012.xlsx,16944,307,0,SUCCESS
2026-01-09 11:24:23,eamcet_2014.xlsx,570,0,0,SUCCESS
2026-01-09 11:28:01,aieee_uttar_pradesh_2012_part3.xlsx,10576,33,0,SUCCESS
2026-01-09 12:23:44,Data Bank - Corporate Members.xls,346,0,0,SUCCESS
2026-01-09 12:25:51,al ain companies with email-1.xls,1896,0,0,SUCCESS
2026-01-09 12:26:01,Email Addresses of UAE CA's.xlsx,319,5,0,SUCCESS
2026-01-09 12:26:14,abudhebi free zone companies with email.xls,2184,0,0,SUCCESS
2026-01-09 12:26:23,bahrain stock exchanges companies.xls,21,0,0,SUCCESS
2026-01-09 12:26:36,dubai chartered accountant firms.xls,20,1,0,SUCCESS
2026-01-09 14:36:23,Book1l.xls,42,0,0,SUCCESS
2026-01-09 14:36:58,dnc.xlsx,16297,0,0,SUCCESS
2026-01-09 15:31:45,Goa.xls,10441,1,0,SUCCESS
2026-01-09 15:32:24,delhi 1300 HNI Numbers.xls,1308,0,0,SUCCESS
2026-01-09 15:33:06,himachal pardesh 565.xlsx,654,0,0,SUCCESS
2026-01-09 15:36:44,jharkhand remaing areas 1825.xlsx,1824,0,0,SUCCESS
2026-01-09 15:38:56,Karnataka number 364038.xls,55348,10,0,SUCCESS
2026-01-12 11:55:22,MIX India 2.xlsx,1048575,0,0,SUCCESS
2026-01-12 12:06:41,banglore-17SEP 2011 (1).xls,2005,1,0,SUCCESS
2026-01-12 12:56:21,banglore OCTOBER 2011-1-20000.xls,20000,0,0,SUCCESS
2026-01-12 15:11:22,MIX India.xlsx,1048575,0,0,SUCCESS
